file_name,region_label,area,bbox_area,extent,perimeter,convex_area,solidity,eccentricity,equivalent_diameter,major_axis_length,minor_axis_length,orientation,filled_area,euler_number,holes_count,green_mean,green_std,green_median,green_min,green_max,green_range,green_cv,smoothness,uniformity,label
3K_DOX_DAY1_SCR_LTX_63X_01,1,494.0,690.0,0.7159420289855073,89.35533905932738,531.0,0.9303201506591338,0.727691310721594,25.079480359432697,31.31252433836165,21.477409868142125,1.3749564453977638,494.0,1,0,22441.96153846154,9929.659465752497,20498.0,6405.0,52563.0,46158.0,0.44245951712976705,0.9999999898578207,0.0024205879034386777,swiss
3K_DOX_DAY1_SCR_LTX_63X_01,3,156.0,196.0,0.7959183673469388,42.62741699796952,156.0,1.0,0.0,14.093451279891855,14.087637788555556,14.087637788555556,-0.7853981633974483,156.0,1,0,19635.615384615383,7641.989870799643,17352.5,8880.0,43252.0,34372.0,0.3891902403419037,0.9999999828767153,0.007381211815239671,swiss
3K_DOX_DAY1_SCR_LTX_63X_01,4,583.0,700.0,0.8328571428571429,87.94112549695427,600.0,0.9716666666666667,0.4399104385108987,27.245158369526866,28.870400513626347,25.926822128759383,0.09104916224115579,583.0,1,0,47136.00686106346,19738.894369135898,54963.0,6814.0,65535.0,58721.0,0.41876467023007724,0.9999999974334227,0.002016061490622479,swiss
3K_DOX_DAY1_SCR_LTX_63X_01,9,192.0,228.0,0.8421052631578947,51.55634918610404,202.0,0.9504950495049505,0.7723654338532483,15.635280380893438,19.670634633846845,12.494362802948574,1.5332936268507484,192.0,1,0,39467.463541666664,16114.33516600734,39566.0,11358.0,65535.0,54177.0,0.40829416739677443,0.9999999961489849,0.006076583995469923,swiss
3K_DOX_DAY1_SCR_LTX_63X_01,10,163.0,196.0,0.8316326530612245,44.970562748477136,166.0,0.9819277108433735,0.4266065887819171,14.406180819073164,15.257055786947188,13.799050247231198,-0.8298645499980867,163.0,1,0,39761.04294478527,15329.503063572212,37240.0,13340.0,65329.0,51989.0,0.38554076875849913,0.9999999957445661,0.007046881499232481,swiss
3K_DOX_DAY1_SCR_LTX_63X_02,8,1283.0,1914.0,0.6703239289446186,154.22539674441617,1358.0,0.9447717231222386,0.9087432039579048,40.41740139958547,63.792480323574566,26.62415596325186,0.3449049874084306,1283.0,1,0,47206.33593141076,15130.13416921154,47529.0,15756.0,65535.0,49779.0,0.3205106660087986,0.9999999956316801,0.0008594911044625126,swiss
3K_DOX_DAY1_SCR_LTX_63X_02,9,109.0,130.0,0.8384615384615385,37.31370849898476,112.0,0.9732142857142857,0.7176466712145828,11.780624362746345,14.154359843090607,9.857200820325295,-1.1925424907910558,109.0,1,0,26118.935779816515,11741.157860064668,23042.0,11487.0,53484.0,41997.0,0.4495266560262261,0.9999999927459902,0.011028203802551569,swiss
3K_DOX_DAY1_SCR_LTX_63X_02,10,476.0,806.0,0.5905707196029777,88.91168824543142,511.0,0.9315068493150684,0.8929104306143625,24.61832697999475,37.43076002594593,16.85261361848607,0.6350524673805713,476.0,1,0,33234.399159663866,15850.524940950592,29965.0,7841.0,65535.0,57694.0,0.4769312923276241,0.9999999960197284,0.0025787047428598685,swiss
3K_DOX_DAY1_SCR_LTX_63X_02,12,101.0,121.0,0.8347107438016529,35.89949493661167,105.0,0.9619047619047619,0.5793658488930832,11.340070282773887,12.633797053098245,10.297398802350441,0.8119928149247863,101.0,1,0,23703.435643564357,8776.299005050834,23234.0,7459.0,40777.0,33318.0,0.37025430140266014,0.9999999870169368,0.011258299482249224,swiss
3K_DOX_DAY1_SCR_LTX_63X_03,1,968.0,1554.0,0.6229086229086229,136.2253967444162,1044.0,0.9272030651340997,0.8836588248602725,35.10692067532608,52.315618595613685,24.490587886498517,1.0089928085694397,969.0,0,1,11784.121900826447,3505.4978642786964,11521.5,4899.0,21329.0,16430.0,0.2974763748865198,0.9999999186232107,0.0011244754066277122,swiss
3K_DOX_DAY1_SCR_LTX_63X_03,2,321.0,357.0,0.8991596638655462,66.14213562373095,331.0,0.9697885196374623,0.6042561599660954,20.216574731145414,22.806201411591474,18.171755928193257,1.3620834820301606,321.0,1,0,52772.51713395639,17137.777574517404,62287.0,11530.0,65535.0,54005.0,0.324748155010596,0.9999999965952048,0.003443804872843571,swiss
3K_DOX_DAY1_SCR_LTX_63X_03,3,200.0,238.0,0.8403361344537815,52.14213562373095,210.0,0.9523809523809523,0.6527496947151106,15.957691216057308,18.380486560102522,13.924572302727665,1.1272724463689034,200.0,1,0,42661.67,18328.765946214164,41825.5,14762.0,65535.0,50773.0,0.4296307656548411,0.9999999970233104,0.005922912973985825,swiss
3K_DOX_DAY1_SCR_LTX_63X_03,4,220.0,304.0,0.7236842105263158,54.87005768508881,231.0,0.9523809523809523,0.7671749155910406,16.73656774376801,20.96308578038045,13.446518853411645,1.0081736554004028,220.0,1,0,16256.709090909091,5405.3608665092925,15964.5,7242.0,34251.0,27009.0,0.33250031333414354,0.9999999657744372,0.005047983901669563,swiss
3K_DOX_DAY1_SCR_LTX_63X_03,10,431.0,550.0,0.7836363636363637,78.8700576850888,459.0,0.9389978213507625,0.5561247661339129,23.42576026046658,25.875557910836477,21.50514558251216,-0.19369078390342173,431.0,1,0,49392.97447795824,16145.876500062332,53466.0,12371.0,65535.0,53164.0,0.32688609403888963,0.9999999961640164,0.0025681079314988442,swiss
