file_name,region_label,area,bbox_area,extent,perimeter,convex_area,solidity,eccentricity,equivalent_diameter,major_axis_length,minor_axis_length,orientation,filled_area,euler_number,holes_count,green_mean,green_std,green_median,green_min,green_max,green_range,green_cv,smoothness,uniformity,label
3K_DOX_DAY1_SCR_LTX_63X_01,2,97.0,130.0,0.7461538461538462,35.55634918610404,104.0,0.9326923076923077,0.6416205365466949,11.11324596323283,12.827905930223096,9.839288893814496,0.122282335094198,97.0,1,0,45173.0824742268,13716.898444679526,44224.0,20706.0,65535.0,44829.0,0.3036520355347814,0.999999994685185,0.011259840811179549,solid
3K_DOX_DAY1_SCR_LTX_63X_01,5,204.0,240.0,0.85,50.97056274847714,211.0,0.966824644549763,0.42888992574012175,16.11647812414279,17.034607252512565,15.388327575534209,-1.0372729161077165,204.0,1,0,52711.583333333336,12997.603581834097,56904.0,24868.0,65535.0,40667.0,0.24657964644394917,0.9999999940806581,0.005200007460982466,solid
3K_DOX_DAY1_SCR_LTX_63X_01,6,175.0,221.0,0.7918552036199095,49.55634918610404,181.0,0.9668508287292817,0.7454457690394697,14.927053303604616,18.54356746475641,12.360516779964442,-0.42689574124078156,175.0,1,0,52975.828571428574,9232.671429798216,53975.0,30966.0,65535.0,34569.0,0.17428083106523923,0.9999999882687245,0.005887850331867375,solid
3K_DOX_DAY1_SCR_LTX_63X_01,7,537.0,725.0,0.7406896551724138,87.01219330881975,563.0,0.9538188277087034,0.6387143746643253,26.148224328293928,29.899187164267424,23.005747807033895,-0.35499992229804517,537.0,1,0,62060.44320297951,6421.3214623723825,65535.0,38323.0,65535.0,27212.0,0.10346883023974433,0.9999999757477986,0.0018821337035962405,solid
3K_DOX_DAY1_SCR_LTX_63X_01,8,189.0,224.0,0.84375,49.55634918610405,196.0,0.9642857142857143,0.5996212656677368,15.512648837479231,17.403488633779293,13.927731944030713,-1.091270290140545,189.0,1,0,61232.444444444445,6879.346826947461,65285.0,29035.0,65535.0,36500.0,0.11234806791339222,0.999999978869704,0.005357788827322075,solid
3K_DOX_DAY1_SCR_LTX_63X_01,11,204.0,266.0,0.7669172932330827,52.04163056034262,211.0,0.966824644549763,0.6508958142015141,16.11647812414279,18.73818788507556,14.225415180031707,-1.4666904137403587,204.0,1,0,52996.16176470588,9989.258426435203,53391.0,29943.0,65535.0,35592.0,0.18849022445787383,0.9999999899784823,0.00507612041527539,solid
3K_DOX_DAY1_SCR_LTX_63X_02,1,82.0,110.0,0.7454545454545455,32.72792206135785,87.0,0.9425287356321839,0.7402777328358642,10.217907939900583,12.618579901279432,8.483486172926455,-0.542268236463849,82.0,1,0,49711.64634146341,12347.779682284694,51095.5,15075.0,65535.0,50460.0,0.24838806579587522,0.9999999934412322,0.012947519893046537,solid
3K_DOX_DAY1_SCR_LTX_63X_02,2,101.0,112.0,0.9017857142857143,36.485281374238575,102.0,0.9901960784313726,0.8199230967923379,11.340070282773887,15.063327562034956,8.62335857634669,-1.419842150340706,101.0,1,0,45375.25742574257,9583.894619221659,43166.0,29892.0,64624.0,34732.0,0.21121411013272762,0.9999999891128066,0.01034268713187287,solid
3K_DOX_DAY1_SCR_LTX_63X_02,3,39.0,48.0,0.8125,20.485281374238568,40.0,0.975,0.6535107224473363,7.046725639945928,8.060932868178307,6.1014592045053195,1.2968810145463752,39.0,1,0,27990.589743589742,6485.2493328023065,26929.0,15549.0,43143.0,27594.0,0.23169391542697038,0.9999999762235706,0.027017488985791795,solid
3K_DOX_DAY1_SCR_LTX_63X_02,4,186.0,225.0,0.8266666666666667,49.55634918610404,195.0,0.9538461538461539,0.3691635890737667,15.389040103942165,16.101557567451724,14.964214877309518,1.2200141322849467,186.0,1,0,58555.903225806454,9931.768738256276,64450.5,28079.0,65535.0,37456.0,0.16961174179069274,0.9999999898621281,0.005531011521254153,solid
3K_DOX_DAY1_SCR_LTX_63X_02,5,63.0,72.0,0.875,27.071067811865476,65.0,0.9692307692307692,0.5753490008430668,8.95623198216277,9.947329367430815,8.13600045533659,1.219219780679309,63.0,1,0,39733.63492063492,14627.432468234088,37132.0,15646.0,64287.0,48641.0,0.3681372846318071,0.9999999953262682,0.01802420730692191,solid
3K_DOX_DAY1_SCR_LTX_63X_02,6,44.0,49.0,0.8979591836734694,22.242640687119287,46.0,0.9565217391304348,0.3185728492004587,7.48482063701911,7.707884956462611,7.306291667302192,-0.7524787787461024,44.0,1,0,48639.02272727273,7316.825020857552,48484.5,31752.0,60733.0,28981.0,0.15043116844440388,0.9999999813209557,0.023241580373626104,solid
3K_DOX_DAY1_SCR_LTX_63X_02,7,63.0,72.0,0.875,26.485281374238568,64.0,0.984375,0.47503438208575716,8.95623198216277,9.53707563379233,8.392314081755629,-1.4445437278798725,63.0,1,0,54280.69841269841,8817.61438895009,56536.0,35142.0,65535.0,30393.0,0.16244474825856886,0.9999999871383174,0.01629187771804428,solid
3K_DOX_DAY1_SCR_LTX_63X_02,11,286.0,336.0,0.8511904761904762,64.72792206135786,303.0,0.9438943894389439,0.6784693544935633,19.08262324195121,22.608320398945743,16.60872114926052,0.049119427444034996,286.0,1,0,57257.09090909091,8735.765011399568,60795.5,26298.0,65535.0,39237.0,0.15257088463103458,0.9999999868961743,0.003577894667262575,solid
